Timestep,L.ASIS,L.Ankle,L.Biceps,L.Clavicle,L.Elbow,L.Forearm,L.Heel,L.Knee,L.MT5,L.PSIS,L.SH1,L.SH2,L.SH3,L.Shoulder,L.TH1,L.TH2,L.TH3,L.TH4,L.Toe,L.Wrist,R.ASIS,R.Ankle,R.Biceps,R.Clavicle,R.Elbow,R.Forearm,R.Heel,R.Knee,R.MT5,R.PSIS,R.SH1,R.SH2,R.SH3,R.SH4,R.Shoulder,R.TH1,R.TH2,R.TH3,R.Toe,R.Wrist,S2
151,0.0212599,0.00540241,0.00139749,0.00529649,0.010315,0.00181667,0.0188989,0.01758,0.0254264,0.0116551,0.00320356,0.00675199,0.00483079,0.0182367,0.0208139,0.0182041,0.0138883,0.00402165,0.0399936,0.011314,0.0210483,0.00639064,0.00530381,0.0081088,0.00660859,0.00306864,0.0134224,0.00893986,0.00529653,0.00718723,0.0045877,0.00197177,0.00735758,0.00812385,0.0110631,0.0129078,0.0114543,0.00720549,0.011246,0.00451557,0.00825217
152,0.0215494,0.00610568,0.00127533,0.00516659,0.0101946,0.00173757,0.0173721,0.0173417,0.0264304,0.0116772,0.00451692,0.00574932,0.00355866,0.0181868,0.0190399,0.0170651,0.0117155,0.00356624,0.0400757,0.011299,0.0214373,0.00680235,0.00520128,0.00810555,0.00654728,0.00299004,0.0133242,0.00841572,0.00300977,0.00733587,0.00462457,0.00163118,0.00782029,0.00935733,0.011027,0.0124539,0.0115735,0.00776851,0.00676775,0.00446691,0.00820884
153,0.0217,0.00852509,0.00137709,0.00538286,0.0101773,0.0015695,0.015838,0.0169752,0.0261549,0.0116546,0.00510655,0.00508083,0.0028827,0.0182107,0.0169737,0.0159807,0.00901875,0.00394483,0.0400666,0.0113918,0.0218209,0.00680308,0.00510496,0.00801097,0.00647572,0.00295738,0.0127889,0.00832107,0.00216846,0.00730922,0.00467445,0.00164959,0.00858384,0.0109059,0.0110352,0.0123258,0.0122922,0.00724572,0.00364657,0.00441546,0.00808997
154,0.021742,0.0109841,0.00144203,0.00541937,0.0101893,0.00132114,0.0144168,0.0165857,0.0237146,0.0114258,0.00506588,0.00504859,0.00358517,0.0182436,0.0145862,0.015108,0.0058482,0.00544566,0.039308,0.0115294,0.0220274,0.0065586,0.00500329,0.00794143,0.00636291,0.00300634,0.0119914,0.00855562,0.00284788,0.00716213,0.00490923,0.0022541,0.00946269,0.0120199,0.0109987,0.0128532,0.0127152,0.00687015,0.0018396,0.00433404,0.00791692
155,0.0218679,0.0125276,0.00146487,0.00519175,0.0102034,0.000995542,0.0115826,0.0161576,0.0215299,0.0110187,0.00496037,0.00566579,0.00477643,0.0182938,0.0120999,0.0138159,0.00319451,0.00699062,0.0365838,0.0116596,0.0219899,0.00611323,0.00466017,0.00787649,0.00618699,0.00303804,0.0110986,0.00886804,0.00419275,0.00687766,0.00543371,0.0032709,0.0101136,0.0125272,0.0108573,0.013575,0.012754,0.00697946,0.00139519,0.00417056,0.00777084
156,0.0219281,0.014177,0.00171612,0.00503451,0.0102129,0.000724615,0.010186,0.0153262,0.01782,0.0103165,0.00517608,0.00641513,0.00611284,0.0183473,0.00989901,0.012757,0.00180448,0.00863228,0.0326338,0.0117708,0.0217063,0.00589231,0.00428734,0.00777102,0.00595784,0.00288783,0.0106082,0.00893082,0.00516604,0.00646888,0.00603604,0.00417547,0.010604,0.0127468,0.0106823,0.0134131,0.0123848,0.00696569,0.00222453,0.00401866,0.00765317
157,0.0220321,0.0156314,0.0021401,0.00486155,0.010291,0.000815472,0.0113461,0.0142928,0.0127713,0.00919541,0.00480645,0.00684421,0.00736978,0.0183866,0.00828341,0.0120605,0.00337918,0.0101341,0.0283485,0.0119469,0.0212181,0.00544433,0.00412315,0.00764195,0.00569532,0.00273322,0.010046,0.00875175,0.00599668,0.00602386,0.0064807,0.00426755,0.0102865,0.0121033,0.0104529,0.012057,0.0115731,0.00683035,0.00365257,0.00376592,0.00767245
158,0.0221635,0.0168225,0.00266426,0.0046108,0.0104386,0.000888219,0.0150092,0.0133882,0.00871495,0.00778666,0.00448893,0.00696888,0.00835282,0.0185544,0.00680813,0.0113366,0.0050767,0.0110961,0.0228454,0.0121479,0.0207185,0.00638728,0.0039028,0.00754681,0.0055128,0.0026058,0.00990174,0.00859138,0.00763263,0.00559472,0.00645775,0.00447923,0.0101141,0.0121804,0.0101861,0.0111945,0.0108892,0.00690305,0.00500036,0.00347828,0.00795608
159,0.0222793,0.01762,0.00303344,0.00450478,0.0106101,0.00118476,0.0189864,0.0127745,0.00532769,0.00618149,0.00430309,0.00695175,0.0092318,0.0187253,0.00549498,0.0107498,0.00638835,0.0116179,0.0171776,0.0123774,0.0204042,0.00603459,0.00360681,0.00752081,0.00533852,0.00245949,0.0098608,0.00853724,0.00855764,0.00523637,0.00629816,0.00405385,0.00881729,0.0109828,0.0099709,0.0104564,0.0100476,0.00659505,0.0056471,0.0032799,0.00869129
160,0.0223464,0.0181085,0.0034642,0.00447532,0.0107156,0.00144729,0.0212519,0.0125156,0.00579037,0.00440621,0.00378796,0.00672142,0.00993093,0.0189011,0.0048204,0.0103612,0.00727517,0.0120265,0.0118177,0.0125366,0.0199938,0.00675332,0.00337979,0.00753939,0.00513097,0.00240992,0.0107349,0.00854574,0.0094509,0.00475624,0.00594725,0.00395644,0.00770566,0.0104095,0.00980351,0.0106735,0.00998072,0.00618609,0.00687602,0.00319591,0.00952163
